Year of Installation,SA,AADT,PRESSURE(bar),MWI_1,A_MAT,LANDUSE,TYPE,LPR_Corros,DEFECT1LV1,DEF_NATURE
2005,25.954455,10460,4.9,8.571452825,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
2005,3.370162,,7.17,9.156700286,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1990,75.528304,9060,6.62,8.571452825,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1998,2.616562,,6.62,9.156700286,DI,RURAL,Other Location,Mildly Corrosive,C05,M
1989,1.066815,12370,5.28,8.571452825,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2007,4.4922096,,6.55,9.156700286,DI,RURAL,Other Location,Mildly Corrosive,C03,J
2007,1.7741,9060,7.1,8.571452825,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
2003,8.912733,,6.69,9.156700286,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1990,19.759863,14120,6.56,8.318551979,DI,URBAN,Other Location,Non-Corrosive,C01,M
1998,11.66196,,6.55,9.156700286,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2009,0.686247,14520,5.21,8.571452825,DI,URBAN,Other Location,Mildly Corrosive,C05,J
1995,3.700647,,7.17,9.156700286,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1995,1.353497,,6.64,8.380997863,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C01,M
1993,50.683368,,7.56,8.860449607,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1984,14.802117,9080,4.06,8.902277929,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2003,50.396058,,6.55,9.156700286,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1994,14.748423,,4.43,8.571452825,DI,URBAN,Other Location,Highly Corrosive,C01,M
2005,2.663662,1600,7,8.850483118,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1991,81.448146,3260,4.36,8.571452825,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C03,M
2005,5.086486,,7.17,9.156700286,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1991,0.420132,58050,5.36,7.966041811,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1956,7.52344,22180,5.43,10.56077279,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2001,66.000288,11760,7.78,7.751559146,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1995,18.356283,7650,7.78,10.56077279,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1991,13.0161792,,11.27,7.958489153,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1988,0.679653,9610,3.6,10.64350541,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C03,M
1999,18.083888,3350,4.36,7.77236979,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
2010,6.234156,,5.65,7.927526971,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1998,0.792536,,10.2,8.28317476,DI,RURAL,Other Location,Mildly Corrosive,C03,M
2003,4.86072,90060,3.51,7.807711824,DI,RURAL,FOOTWAY,Mildly Corrosive,C03,J
1998,0.2826,,5.12,10.76181877,DI,URBAN,Other Location,Highly Corrosive,C01,M
1997,2.37855,,6,7.927526971,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1989,28.419669,,4.45,7.77236979,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2004,3.390572,7440,7.84,7.668826524,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C05,M
1997,11.969052,17410,10.71,7.426638448,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
2003,1.699368,12110,5.89,9.49050646,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1996,216.789996,840,4.11,9.907909914,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1998,4.291752,3810,12.18,9.907909914,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C03,M
1989,40.291852,6820,4.8,10.17192822,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1998,19.925184,,7.17,10.17192822,DI,RURAL,Other Location,Highly Corrosive,C01,M
2007,51.891012,14430,5.21,10.17192822,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1990,94.199529,,5.24,10.27327684,DI,RURAL,Other Location,Mildly Corrosive,C05,M
1996,18.385956,27620,7.85,9.688062622,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,N
2001,9.82506,22660,4.13,9.625367342,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C02,J
2007,74.478916,65290,7.1,10.27327684,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2004,44.344964,18640,5.58,10.07394232,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,J
1992,23.830716,13420,6.96,8.786267483,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1985,1.722918,15220,7.85,9.688062622,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2005,23.981436,13420,7.17,10.27327684,DI,RURAL,FOOTWAY,Mildly Corrosive,C05,J
2001,25.579068,,7.31,10.75305386,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1980,6.11358,,7.24,10.44722978,DI,RURAL,Other Location,Highly Corrosive,C01,M
1998,0.314,,4.72,10.44722978,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2004,1.242027,18370,12.48,10.16794516,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C05,M
1992,10.008279,1640,5.21,10.44722978,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1995,2.2095552,16620,3.17,10.3674437,DI,RURAL,Other Location,Mildly Corrosive,C03,M
1980,0.611829,9590,2.1,10.47516554,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2010,7.154019,23820,5.35,10.11631413,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
2001,54.67525,56140,6.75,10.75305386,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C02,J
1991,0.606648,58050,5.36,10.07873491,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1990,34.115472,,1.87,10.38616877,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1999,0.465348,22200,5.35,10.27895255,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1984,15.76908,11440,4.91,10.27047703,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,1.75212,31060,7.03,10.75305386,DI,RURAL,FOOTWAY,Highly Corrosive,C02,N
1991,1.379559,26090,6.72,10.06072894,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1981,1.368726,750,8.18,10.48478375,DI,RURAL,Other Location,Mildly Corrosive,C01,J
1996,4.442786,89450,5.3,10.47516554,DI,RURAL,FOOTWAY,Mildly Corrosive,C03,J
2003,55.01908,,6.27,9.155362458,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2000,23.568212,14830,4.83,9.24564637,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2005,5.781525,13870,6.56,9.33881398,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
2005,0.7169248,,6.29,9.24564637,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2006,3.814629,123140,4.75,8.94959706,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2001,0.978738,15950,4.48,8.964315812,DI,RURAL,FOOTWAY,Mildly Corrosive,C01,M
2001,0.540237,15180,7.93,7.345496064,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1987,147.342616,22200,5.35,7.53294899,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2000,0.931795,20800,7.71,7.617494319,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2001,0.704145,3350,4.36,8.09399559,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
2007,0.323734,3160,5.49,7.53294899,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1990,19.107528,80250,5.43,7.858173285,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1989,2.431616,21600,7.14,7.947779516,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
2011,0.738528,2960,6.27,7.617494319,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,J
1980,6.188469,2690,11.62,8.395539604,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1995,12.087744,9990,7.8,7.917172677,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2000,2.283094,,7.17,8.48463279,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1980,0.735702,9880,6.27,8.388533878,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,J
2004,21.9104176,102240,8.46,7.977200148,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1990,3.67537,3110,6.27,8.388533878,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,J
1984,29.761548,32000,7.17,7.917172677,DI,URBAN,FOOTWAY,Highly Corrosive,C03,M
2003,2.370543,36940,7.02,8.037319731,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
2003,1.393218,21360,7.1,8.40099354,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
2007,0.279303,2060,9.62,7.988666449,DI,RURAL,FOOTWAY,Mildly Corrosive,C05,M
1992,0.5338,39800,6.18,7.988666449,DI,URBAN,Other Location,Highly Corrosive,C01,M
1985,93.514224,45350,7.69,8.169126096,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C03,M
1990,49.949864,9620,6.69,10.57208269,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2004,3.714777,44960,7.09,8.107811469,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,0.491253,,2.07,6.447138794,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1996,0.860674,79250,5.42,8.107811469,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1996,58.908912,,6.13,8.11499174,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2000,1.2976992,,16.94,7.987443967,DI,RURAL,Other Location,Highly Corrosive,C01,M
2003,3.438771,60410,4.83,8.496126747,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1998,3.635178,2580,5.89,8.348949043,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2006,1.104024,27630,5.81,8.442662051,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C05,J
2008,0.322164,4740,6.43,8.442662051,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1983,2.656911,15660,4.83,8.496126747,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2004,1.166824,18640,5.58,8.572367418,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,J
1983,40.686864,13800,7.79,8.342094081,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C03,M
1989,0.884067,9800,5.21,8.582737472,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1999,9.012114,,7.03,8.699656758,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1992,8.300904,56700,7.64,6.69112401,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2007,2.462702,3350,4.36,9.021812102,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1988,4.183736,9590,1.34,8.823825317,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1996,4.672948,,5.12,10.06256202,DI,RURAL,Other Location,Highly Corrosive,C01,M
1999,6.101805,31960,3.48,7.493069931,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1992,37.770118,20960,0.24,9.289515575,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1992,40.738674,1640,5.14,9.021812102,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1998,0.7958016,22180,5.36,8.382233765,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1999,6.799984,,9.93,9.563829323,DI,RURAL,Other Location,Mildly Corrosive,C01,J
1996,2.602275,11910,11.93,9.289518955,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1991,40.822983,3350,4.36,9.021812102,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1999,100.9196,17120,6.68,8.823825317,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1996,1.948527,5680,4.97,8.551952661,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,J
1992,0.46158,6090,4.56,9.082927758,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1992,8.307812,58920,7.64,8.445739902,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2007,0.707442,3430,5.47,8.382233765,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1996,1.274055,31060,6.89,11.06903896,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1987,4.064416,18800,5.35,10.41308337,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,J
1992,3.846657,138980,5.36,10.41308337,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1992,55.886505,1640,5.14,10.15629156,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,27.4383248,,6.2,11.07295953,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2009,17.78967,15620,7.86,10.31215876,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1999,1.665456,14300,5.93,10.4564279,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
2004,14.155905,6840,3.62,10.71634045,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1994,26.045358,43770,4.94,10.12719328,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,J
2001,0.530817,13370,6.53,10.53280032,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1997,0.334096,16830,6.55,11.43195192,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1986,9.192507,4800,5.98,11.2891496,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1997,0.651864,22660,4.07,10.82451542,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,J
1998,0.5365632,22180,5.36,10.71634045,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,7.417308,,10.8,10.43262654,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C01,M
1997,11.867316,9500,6.28,10.12719328,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
2005,0.757368,22660,11.96,12.03959541,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,J
1993,8.03526,8450,6.34,12.07706891,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2000,0.2517024,5830,6.72,12.04461065,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2009,1.739874,29820,5.58,12.02839007,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1995,1.278294,13870,6.56,12.07683404,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2003,1.71444,20850,6.19,12.04461065,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1986,4.2391256,32700,6.05,12.30234391,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,5.847465,,12.17,12.38557416,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1989,1.023954,10720,7.09,12.27941738,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1997,2.581551,7160,5.4,12.27941738,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2008,4.78222,7170,5.09,12.39623993,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1993,0.600525,4390,1.22,16.08379829,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
2012,17.839596,950,7.95,16.08379829,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,J
2009,1.376262,19070,9.22,16.1663761,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,J
1992,0.330328,22430,7.85,7.674773787,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,24.394032,,5.72,16.34392722,DI,RURAL,Other Location,Highly Corrosive,C01,M
2009,1.075764,21200,7.09,15.93914193,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C02,J
1984,102.99828,9860,1.76,15.74904902,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2006,0.489526,650,7.58,15.75858129,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
2005,32.566196,9120,6.75,15.93914193,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C04,J
2008,0.364083,28570,11.79,15.76207765,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,J
1956,0.855336,136030,5.49,6.874666164,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2006,47.795667,,6.75,7.632573831,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1998,38.25933,57560,4.94,6.973152844,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,J
2003,0.3649936,32000,5.29,7.179155957,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,J
1999,5.2762048,13190,7.03,7.113275417,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1991,1.491657,21060,9.01,7.156310769,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2009,1.856211,18980,5.22,6.67749509,DI,URBAN,Other Location,Mildly Corrosive,C01,J
2000,50.297776,75140,6.27,7.632573831,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2012,12.56628,34530,6.96,7.632573831,DI,RURAL,FOOTWAY,Mildly Corrosive,C05,J
1993,46.678455,1890,5.28,7.113275417,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1985,10.553226,15010,12.48,6.849098131,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1999,0.7809808,74950,4.9,7.113275417,DI,RURAL,Other Location,Mildly Corrosive,C01,J
1997,0.430023,92670,10.07,7.033411658,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1992,0.209595,11760,5.86,7.53408715,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C05,J
2004,0.158099,13620,7.79,7.033411658,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,5.3709072,,6.56,7.138554024,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1999,5.280381,,5.42,7.454804459,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
2008,0.635379,78070,12.48,7.138554024,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2004,13.5467136,,5.86,7.47667985,DI,RURAL,Other Location,Mildly Corrosive,C03,M
1996,10.483047,92670,10.97,7.255489938,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1991,0.6712064,3130,12.07,7.138554024,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2003,0.90432,11440,5.53,7.292261312,DI,URBAN,FOOTWAY,Non-Corrosive,C03,J
2010,15.767824,,1.51,7.507086937,DI,RURAL,Other Location,Non-Corrosive,C05,J
1963,25.024701,,9.22,5.860077301,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2001,0.492038,52310,5.6,6.980402547,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2003,1.157718,24660,7.1,7.535931929,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
2006,0.3117392,125810,4.61,7.17876089,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,4.109004,3230,6.44,7.189691351,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1997,0.206298,8780,7.25,6.753931642,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1985,2.570718,32090,9.08,7.09038423,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
1980,1.316288,,7.1,7.535931929,DI,RURAL,Other Location,Highly Corrosive,C01,M
1994,0.734289,31050,4.18,7.172820647,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1997,0.430808,9910,6.27,7.18857857,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1990,2.879694,1890,5.35,6.630257914,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,J
1985,24.933484,4660,5.56,7.330330004,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1997,15.0750144,,2.06,7.105122825,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1983,3.141256,24080,12.48,6.184708405,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C05,M
1993,1.421792,,4.78,7.04972622,DI,RURAL,Other Location,Highly Corrosive,C01,M
1985,85.171401,7300,6.75,7.369425719,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,J
1980,5.937426,1310,7.89,6.995811718,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2006,30.77514,18110,6.58,7.010320496,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2009,2.44449,12300,3.99,6.630257914,DI,URBAN,Other Location,Mildly Corrosive,C03,J
1995,3.681336,860,6.72,6.590967383,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2005,88.84944,8180,6.22,6.803563686,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2006,150.118533,22710,9.76,6.559840501,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
2004,115.786872,4660,1.2,6.803563686,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1956,22.748358,,9.22,5.860077301,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
1992,4.34262,15780,4.87,6.2024205,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1992,3.369848,,5.79,6.860264952,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1991,1.37689,3130,12.21,6.834399128,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1991,34.094748,2510,0.96,5.978223082,DI,URBAN,Other Location,Highly Corrosive,C01,M
1956,0.610887,51810,6.29,6.553802552,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2005,0.596286,8150,14.58,7.200625007,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,J
1956,3.53721,7540,9.83,6.421253615,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1993,1.401225,24660,12.69,6.468012874,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1994,1.315974,31050,4.18,7.102371876,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,J
2011,10.133565,,6.55,6.814783368,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1989,39.561488,11860,5.21,6.106244244,DI,URBAN,FOOTWAY,Mildly Corrosive,C04,M
1991,2.316064,10050,4.83,6.723803067,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2010,17.393088,12750,5.4,7.138869189,DI,URBAN,FOOTWAY,Highly Corrosive,C03,J
2011,5.478201,22600,7.85,6.468012874,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1994,0.3928768,11410,7.87,6.723803067,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2006,1.075764,2730,5.78,6.39576653,DI,URBAN,FOOTWAY,Non-Corrosive,C03,J
1993,1.303257,4570,7.85,7.085571697,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2006,7.389048,14410,7.1,6.768209111,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1963,25.024701,,9.22,5.860077301,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1990,11.104767,14970,7.17,6.768209111,DI,RURAL,Other Location,Highly Corrosive,C01,M
1998,0.5729872,,4.95,7.109169633,DI,URBAN,Other Location,Highly Corrosive,C01,M
2001,2.3527392,980,6.54,7.062079943,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
2012,0.346342,17000,6.65,7.134711736,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2003,0.3665008,32550,0.14,7.142218947,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,33.782946,23310,7.27,7.692162801,DI,URBAN,FOOTWAY,Highly Corrosive,C03,J
1956,257.149044,15080,6.55,6.889256638,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,J
1999,4.950524,15910,4.09,7.074194812,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
1989,0.28888,1590,9.83,6.695987604,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1995,1.114386,17390,6.42,7.68647478,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1989,0.521397,1590,9.83,6.695987604,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1995,1.121294,17390,6.49,7.682068836,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1990,0.750303,,7.65,7.498328655,DI,RURAL,FOOTWAY,Mildly Corrosive,C03,J
2006,1.663572,18110,6.72,7.296761621,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1992,0.524223,,5,8.143793116,DI,URBAN,Other Location,Mildly Corrosive,C03,J
2001,20.817258,,4.45,8.356345236,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1996,1.1690848,13190,7.03,7.564793684,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1994,0.912798,20490,7.8,8.143793116,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1993,0.7066256,4600,7.57,7.679354724,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1980,9.719556,12620,7.1,8.221715183,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C05,M
2003,6.290205,15830,4.09,8.143793116,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2012,34.908008,3910,11.69,8.508266546,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1990,25.09174,9720,6.89,8.143793116,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C01,M
2008,10.618224,11860,5.21,7.70814631,DI,URBAN,FOOTWAY,Mildly Corrosive,C04,M
2007,4.894004,90980,5.51,7.871025113,DI,URBAN,Other Location,Mildly Corrosive,C03,J
1993,10.255083,4570,7.85,7.906481393,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
2000,1.26699,18580,5.67,8.244437471,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1984,4.948797,11750,3.52,8.423609757,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1989,11.45315,3810,5.35,7.461344999,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1997,1.209999,49010,6.56,7.938202238,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1992,0.674943,3170,7.17,7.70814631,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C03,M
1999,4.739673,4760,7.18,8.153282703,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1989,0.686718,21650,5.35,7.906481393,DI,URBAN,Other Location,Mildly Corrosive,C03,M
1986,0.8169024,4370,6.6,7.938202238,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1996,0.9731488,90980,6.33,7.871025113,DI,RURAL,Other Location,Mildly Corrosive,C05,M
2010,4.466022,23980,9.22,8.443715717,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1989,4.964968,,3.82,8.007644877,DI,RURAL,Other Location,Highly Corrosive,C01,M
2002,10.79532,20460,5.39,7.938230839,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2008,55.362753,11860,5.21,7.70814631,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1998,3.8908368,,6.01,8.269774681,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1996,10.653706,12450,7.73,9.082830492,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1986,1.328848,4370,6.53,8.735222686,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,9.475264,23980,9.22,9.409622711,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
